tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
paco,mujer,kenzo,amour,eau de parfum,93.5,40.0,56.1,0,0
paco,mujer,escada,"fairy love ""edición limitada""",eau de toilette,46.5,51.0,22.78,5,1
paco,mujer,biotherm,eau d'énergie,eau de toilette,60.0,50.0,30.0,4,15
paco,mujer,dkny,be golden delicious,eau de parfum,57.0,39.0,34.77,0,0
paco,mujer,adolfo domínguez,iris vainilla,eau de parfum,46.0,41.0,27.14,3,1
paco,mujer,sisley,l'eau rêvée d'hubert,eau de toilette,96.0,30.0,67.2,5,1
paco,mujer,tous,floral touch so fresh,eau de toilette,84.0,52.0,40.32,5,1
paco,mujer,dior,miss dior absolutely blooming,eau de parfum,88.13,0.0,88.13,4,2
paco,mujer,adolfo domínguez,jazmín tonka,eau de parfum,46.0,41.0,27.14,0,0
paco,mujer,hermès,eau des merveilles bleue ,eau de toilette,94.0,18.0,77.08,0,0
paco,mujer,tiffany & co.,tiffany sheer,eau de toilette,72.0,51.0,35.28,0,0
paco,mujer,estée lauder,spellbound,eau de parfum,62.95,0.0,62.95,4,3
paco,mujer,givenchy,eau de givenchy,eau de toilette,98.0,40.0,58.8,0,0
paco,mujer,yves saint laurent,paris,eau de parfum,110.0,49.0,56.1,4,9
paco,mujer,bvlgari,eau parfumée au thé vert,eau de cologne,98.0,35.0,63.7,4,29
paco,mujer,gucci,bloom edt,eau de toilette,99.0,51.0,48.51,0,0
paco,mujer,moschino,cheap and chic stars,eau de parfum,68.1,40.0,40.86,0,0
paco,mujer,lacoste,eau de lacoste l.12.12 pour elle sparkling,eau de toilette,62.0,44.0,34.72,0,0
paco,mujer,hermès,voyage d'hermès edt,eau de toilette,134.0,30.0,93.8,5,1
paco,mujer,rochas,eau de rochas escapade exotique,eau de toilette,95.0,63.0,35.15,5,9
paco,mujer,carolina herrera,very good girl,eau de parfum,77.5,32.0,52.7,0,0
paco,mujer,paco rabanne,fame parfum,parfum,73.5,35.0,47.78,0,0
paco,mujer,estée lauder,beautiful,eau de parfum,63.97,0.0,63.97,4,8
paco,mujer,elizabeth arden,sunflowers estuche,eau de toilette,24.5,31.0,16.9,0,0
paco,mujer,issey miyake,l'eau d'issey pivoine,eau de toilette,92.0,35.0,59.8,0,0
paco,mujer,paloma picasso,paloma picasso edp,eau de parfum,119.5,64.0,43.02,5,1
paco,mujer,loewe,solo ella elixir,eau de parfum,140.0,35.0,91.0,0,0
paco,mujer,dior,poison,eau de toilette,55.5,0.0,55.5,5,2
paco,mujer,thierry mugler,angel edt,eau de toilette,65.0,51.0,31.85,5,2
paco,mujer,lancôme,la vie est belle soleil cristal,eau de parfum,37.0,41.0,21.83,4,3
paco,mujer,dior,miss dior rose n'roses,eau de toilette,55.5,0.0,55.5,0,0
paco,mujer,dior,miss dior eau de toilette originale,eau de toilette,105.95,0.0,105.95,4,7
paco,mujer,cacharel,yes i am bloom up,eau de parfum,57.0,30.0,39.9,0,0
paco,mujer,desigual,fresh world,eau de toilette,44.0,32.0,29.92,5,2
paco,mujer,hermès,calèche soie de parfum,eau de parfum,185.0,41.0,109.15,2,1
paco,mujer,burberry,brit for her edp,eau de parfum,109.5,54.0,50.37,5,3
paco,mujer,tous,oh! the origin,eau de parfum,96.0,57.0,41.28,5,4
paco,mujer,armani,sì estuche,eau de parfum,151.0,47.0,80.03,0,0
paco,mujer,dkny,dkny stories,eau de parfum,52.0,42.0,30.16,0,0
paco,mujer,lancôme,hypnôse,eau de parfum,145.0,45.0,79.75,5,9
paco,mujer,guerlain,idylle edp,eau de parfum,146.5,43.0,83.51,0,0
paco,mujer,hugo boss,boss the scent le parfum for her,parfum,82.0,51.0,40.18,0,0
paco,mujer,nina ricci,bella,eau de toilette,48.5,44.0,27.16,4,2
paco,mujer,halloween,halloween blossom,eau de toilette,59.0,49.0,30.09,0,0
paco,mujer,loewe,agua ella,eau de toilette,102.0,35.0,66.3,4,9
paco,mujer,adolfo domínguez,verbena mandarina,eau de toilette,59.5,45.0,32.72,0,0
paco,mujer,versace,bright crystal absolu,eau de parfum,74.0,41.0,43.66,0,0
paco,mujer,nina ricci,nina le parfum,eau de parfum,65.0,39.0,39.65,0,0
paco,mujer,dior,j'adore l'or,parfum,131.95,0.0,131.95,0,0
paco,mujer,guerlain,aqua allegoria nerolia vetiver,eau de toilette,105.35,43.0,60.05,5,2
paco,mujer,shiseido,ginza intense,eau de parfum,77.0,35.0,50.05,0,0
paco,mujer,narciso rodríguez,narciso cristal,eau de parfum,73.0,35.0,47.45,0,0
paco,mujer,carolina herrera,ch pasión,eau de parfum,127.5,41.0,75.23,0,0
paco,mujer,sisley,l'eau rêvée d'eliya,eau de toilette,96.0,30.0,67.2,0,0
paco,mujer,gianfranco ferré,camicia 113 edp,eau de parfum,73.0,59.0,29.93,5,4
paco,mujer,moschino,toy 2,eau de parfum,57.0,40.0,34.2,4,4
paco,mujer,guerlain,aqua allegoria pamplelune,eau de toilette,105.35,43.0,60.05,0,0
paco,mujer,sisley,l'eau rêvée d'alma,eau de toilette,96.0,30.0,67.2,0,0
paco,mujer,aristocrazy,brave,eau de toilette,72.0,46.0,38.88,4,6
paco,mujer,chloé,chloé rose naturelle intense,eau de parfum,162.0,58.0,68.04,0,0
paco,mujer,ralph lauren,romance,eau de parfum,155.0,61.0,60.45,5,5
paco,mujer,adolfo domínguez,agua fresca de gardenia musk,eau de toilette,56.5,43.0,32.21,4,8
paco,mujer,jean paul gaultier,classique pride 2023,eau de toilette,102.0,41.0,60.18,0,0
paco,mujer,sisley,soir de lune,eau de parfum,122.5,30.0,85.75,5,1
paco,mujer,adolfo domínguez,agua fresca de mimosa coriandro,eau de toilette,56.5,52.0,27.12,4,7
paco,mujer,yves saint laurent,y,eau de toilette,150.0,45.0,82.5,5,17
paco,mujer,jimmy choo,jimmy choo,eau de parfum,135.0,61.0,52.65,4,4
paco,mujer,givenchy,ange ou démon,eau de parfum,107.0,40.0,64.2,0,0
paco,mujer,dior,j'adore parfum d'eau,eau de parfum,65.25,0.0,65.25,0,0
paco,mujer,jimmy choo,i want choo,eau de parfum,72.0,51.0,35.28,0,0
paco,mujer,angel schlesser,les eaux d'un instant blooming grapefruit,eau de toilette,53.0,54.0,24.38,5,1
paco,mujer,dolce & gabbana,pour femme,eau de parfum,145.0,46.0,78.3,4,5
paco,mujer,guerlain,mon guerlain intense,eau de parfum,89.3,44.0,50.01,5,1
paco,mujer,sisley,eau de campagne,eau de toilette,95.0,30.0,66.5,0,0
