tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,tous,chill,eau de toilette,47.0,76.0,39.95,4.6,5.0
druni,hombre,angel schlesser,woody mandarin,eau de toilette,53.0,53.0,24.95,5.0,1.0
druni,hombre,tom ford,grey vetiver,parfum,25.0,165.0,123.95,,
druni,hombre,guess,uomo acqua,eau de toilette,42.0,60.0,34.95,5.0,1.0
druni,hombre,zadig & voltaire,this is him,eau de toilette,36.0,58.0,36.95,4.75,29.0
druni,hombre,dior,eau sauvage cologne,eau de cologne,25.0,73.7,54.95,5.0,7.0
druni,hombre,cartier,pasha de cartier édition noire,eau de toilette,30.0,109.0,75.95,4.65,3.0
druni,hombre,bvlgari,pour homme,eau de toilette,35.0,117.0,75.95,4.05,15.0
druni,hombre,el ganso,bravo monsieur,eau de toilette,45.0,69.0,37.95,4.6,26.0
druni,hombre,guess,seductive homme,eau de toilette,43.0,70.0,39.95,4.7,14.0
druni,hombre,bvlgari,glacial essence,eau de parfum,35.0,135.0,87.25,5.0,5.0
druni,hombre,boucheron,homme,eau de toilette,71.0,121.0,34.95,3.0,2.0
druni,hombre,beverly hills polo club,titan,eau de toilette,25.0,40.0,29.95,4.0,7.0
druni,hombre,tom ford,costa azzurra,eau de parfum,25.0,135.0,100.95,4.0,2.0
druni,hombre,hermès,h24,eau de toilette,30.0,87.0,60.95,4.55,7.0
druni,hombre,kenzo,estuche homme,eau de toilette,46.0,108.0,57.95,4.85,19.0
druni,hombre,f1 fragrances,estuche precious mettle,eau de toilette,53.0,75.0,34.95,4.7,24.0
druni,hombre,f1 fragrances,estuche turn 1,eau de toilette,53.0,75.0,34.95,4.6,29.0
druni,hombre,hermès,terre d'hermès eau givrée,eau de parfum,31.0,98.0,67.95,4.35,3.0
druni,hombre,guess,guess uomo,eau de toilette,42.0,60.0,34.95,4.65,6.0
druni,hombre,jimmy choo,cofre man aqua,eau de toilette,46.0,101.0,54.9,,
druni,hombre,dior,sauvage,eau de parfum,25.0,280.0,209.95,,
druni,hombre,boucheron,singulier,eau de parfum,54.0,98.0,44.95,5.0,1.0
druni,hombre,pedro del hierro,homme sport,eau de toilette,40.0,58.0,34.95,4.0,1.0
druni,hombre,armani,armani code new,eau de toilette,44.0,135.0,74.95,,
druni,hombre,armand basi,uniform dont look back,eau de toilette,45.0,65.0,35.95,,
druni,hombre,dior,fahrenheit,parfum,25.0,136.0,101.95,4.8,28.0
druni,hombre,el ganso,friday edition,eau de toilette,48.0,69.0,35.95,5.0,13.0
druni,hombre,tom ford,grey vetiver,eau de parfum,25.0,135.0,100.95,5.0,2.0
druni,hombre,fun & basics,be fun man,eau de toilette,60.0,25.0,9.95,4.0,5.0
druni,hombre,police,exotic jungle man,eau de toilette,58.0,48.0,19.95,3.5,4.0
druni,hombre,karl lagerfeld,new york,eau de toilette,68.0,95.0,29.95,5.0,5.0
druni,hombre,armand basi,l' eau pour homme intense vetiver,eau de toilette,55.0,65.0,28.95,3.85,7.0
druni,hombre,coach,blue,eau de toilette,57.0,92.0,39.95,4.5,2.0
druni,hombre,lacoste,match point,eau de toilette,60.0,112.0,44.95,5.0,2.0
druni,hombre,armand basi,l'eau pour homme blue tea,eau de toilette,55.0,65.0,28.95,4.0,3.0
druni,hombre,paco rabanne,phantom refill,eau de toilette,34.0,134.0,87.95,,
druni,hombre,halloween,man hero,eau de toilette,52.0,73.0,34.95,4.2,5.0
