tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
notino,hombre,dunhill,icon racing red,eau de parfum,44.8,0.0,44.8,,
notino,hombre,teatro fragranze,rose oud,eau de parfum,145.0,0.0,145.0,,
notino,hombre,dsquared2,2 wood,eau de toilette,35.0,0.0,35.0,,
notino,hombre,david beckham,aromatic greens,eau de parfum,23.6,0.0,23.6,,
notino,hombre,david beckham,infinite aqua,eau de parfum,20.1,0.0,20.1,,
notino,hombre,david beckham,refined woods,eau de parfum,20.1,0.0,20.1,,
notino,hombre,novellista,desert wood,eau de parfum,99.0,0.0,99.0,,
notino,hombre,novellista,violet charade,eau de parfum,99.0,0.0,99.0,,
notino,hombre,novellista,saffron whisper,eau de parfum,37.4,0.0,37.4,,
notino,hombre,culti,geranio imperiale,eau de parfum,90.0,0.0,90.0,,
notino,hombre,beviro,bohemian spirit,eau de cologne,34.8,0.0,34.8,,
notino,hombre,al haramain,mukhallath al sultan,eau de parfum,153.2,0.0,153.2,,
notino,hombre,police,to be born to shine,eau de toilette,9.8,0.0,9.8,,
notino,hombre,reminiscence,oriental dream,eau de parfum,85.0,0.0,85.0,,
notino,hombre,captain fawcett,alessandro manfredini,eau de parfum,66.9,0.0,66.9,,
notino,hombre,captain fawcett,original rufus hound's triumphant,eau de parfum,68.1,0.0,68.1,,
notino,hombre,captain fawcett,barberism by sid sottung eau de parfum,eau de parfum,68.0,0.0,68.0,,
notino,hombre,avon,segno impact,eau de parfum,20.2,0.0,20.2,,
notino,hombre,montblanc,legend red,eau de parfum,31.0,0.0,31.0,,
notino,hombre,lacoste,red,eau de toilette,34.1,0.0,34.1,,
notino,hombre,truefitt & hill,apsley,eau de cologne,31.5,0.0,31.5,,
notino,hombre,xerjoff,nio,parfum,211.5,0.0,211.5,,
notino,hombre,trussardi,le vie di milano behind the curtain piazza alla scala,eau de parfum,92.9,0.0,92.9,,
notino,hombre,prada,les infusions: infusion d'ylang,eau de parfum,107.6,0.0,107.6,,
notino,hombre,calvin klein,eternity for men parfum,parfum,96.0,44.9,52.9,5.0,1.0
notino,hombre,reebok,cool your body,eau de toilette,13.5,0.0,13.5,,
notino,hombre,reebok,move your spirit,eau de toilette,13.5,0.0,13.5,,
notino,hombre,reebok,inspire your mind,eau de toilette,13.5,0.0,13.5,,
notino,hombre,jenny glow,uisce,eau de parfum,11.5,0.0,11.5,,
notino,hombre,burberry,hero eau de parfum,eau de parfum,72.5,0.0,72.5,,
notino,hombre,lacoste,match point cologne,eau de toilette,50.8,0.0,50.8,,
notino,hombre,mauboussin,pour lui in red,eau de parfum,30.0,0.0,30.0,,
notino,hombre,afnan,supremacy in oud,eau de parfum,51.2,9.96,46.1,4.3,3.0
notino,hombre,coach,blue,eau de toilette,42.5,0.0,42.5,,
notino,hombre,n.c.p. olfactives,101 clementine & violet flower,eau de parfum,17.0,0.0,17.0,,
